Y01-AA-FOR-0098 Project Stock Record ,,,,,,,,,,,
,,,,,,,,,,,
PART NUMBER,DESCRIPTION,QUANTITY,BATCH/LOT/ DATE CODE,DELIVERY NUMBER,DATE RECEIVED,JOB/PROJECT REF.,LOCATION,COMMENTS,PURCHASE ORDER NUMBER,LINK TO DELIVERY NOTE ,
RHBL 3.0 ,HOOK BLADE 3.0MM,2000,90315,174-305307,17/11/2015,A54,A54,,PO001303,U:\DOC062.pdf,
BHBL 3.0 ,HOOK BLADE 3.0MM,2000,69992,174-305307,17/11/2015,A54,A54,,PO001303,U:\DOC062.pdf,
RHBL 4.6 ,HOOK BLADE 4.6MM,2000,61019,174-305307,17/11/2015,A54,A54,,PO001303,U:\DOC062.pdf,
BHBL 4.6 ,HOOK BLADE 4.6MM,2000,00417,174-305307,17/11/2015,A54,A54,,PO001303,U:\DOC062.pdf,
RB 18,18MM LONG 2.4MM WIDE,2000,00310,174-305307,17/11/2015,A54,A54,,PO001303,U:\DOC062.pdf,
BB 18,18MM LONG 2.4MM WIDE,2000,90902,174-305307,17/11/2015,A54,A54,,PO001303,U:\DOC062.pdf,
UB200C , 200 X 4MM BLACK CABLE TIE,1000,N/A,174-305307,17/11/2015,A54,A54,,PO001303,U:\DOC062.pdf,
UB385C ,385 X 4.8MM BLACK CABLE TIE,1000,N/A,174-305307,17/11/2015,A54,A54,,PO001303,U:\DOC062.pdf,
HFC430 ,430 X 4.8 BLACK TIES,1000,N/A,174-305307,17/11/2015,A54,A54,,PO001303,U:\DOC062.pdf,
RS20 HWH , FUSE HOLDER 20A WHITE,2,N/A,174-305307,17/11/2015,A54,A54,,PO001303,U:\DOC062.pdf,
242-1049 , 20A LINKS,2,N/A,174-305307,17/11/2015,A54,A54,,PO001303,U:\DOC062.pdf,
414-213 ,ADAPTOR,2,N/A,174-305307,17/11/2015,A54,A54,,PO001303,U:\DOC062.pdf,
425-752 ,SAKR,50,N/A,174-305307,17/11/2015,A54,A54,25 DELIVERED 17 NOV.   25 DELIVERED 19 NOV.,PO001303,U:\DOC062.pdf,
260-104 , CONTACT BLOCK,1,N/A,174-305307,17/11/2015,A54,A54,,PO001303,U:\DOC063.pdf,
TS15 , MINI RAIL 15 X 5MM,2 x 1M,N/A,174-305307,17/11/2015,A54,A54,,PO001303,U:\DOC063.pdf,
CGSS 2,1.1 - 1.5MM SMOOTH GROMMET STRIP,1 x 30M,N/A,576379,19/11/2015,A54,A54,,PO001297,U:\DOC064.pdf,
CGSS 3,1.6 - 2.0MM SMOOTH GROMMET STRIP,1 x 25M,N/A,576379,19/11/2015,A54,A54,,PO001297,U:\DOC064.pdf,
CGSS 4,2.1 - 3.0MM SMOOTH GROMMET STRIP,1 x 20M,N/A,576379,19/11/2015,A54,A54,,PO001297,U:\DOC064.pdf,
CGSS 5,3.1 - 4.0MM SMOOTH GROMMET STRIP,1 x  15M ,N/A,576379,19/11/2015,A54,A54,,PO001297,U:\DOC064.pdf,
